"Disease Category","Disease","January","February","March","April","May","June","July","July 3-year Average","2026 YTD Cases","2025 YTD Cases","2025 Total Cases","2025 Total Rate"
"Vaccine Preventable Diseases","Meningococcal disease, invasive (IMD)","1","0","1","1","0","0","2","0",5,"1","5","0.2"
"Vaccine Preventable Diseases","Mumps","0","0","0","0","1","0","1","0",2,"3","6","0.2"
"Vaccine Preventable Diseases","Pertussis (Whooping Cough)","2","0","1","0","1","0","0","13",4,"36","44","1.3"
"Vaccine Preventable Diseases","Pneumococcal disease, invasive (IPD)","34","23","35","26","24","28","15","16",185,"172","288","8.8"
"Vaccine Preventable Diseases","Poliomyelitis","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vaccine Preventable Diseases","Rubella","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vaccine Preventable Diseases","Rubella, congenital syndrome (CRS)","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vaccine Preventable Diseases","Smallpox","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vaccine Preventable Diseases","Tetanus","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Anaplasmosis","0","0","0","0","1","1","1","2",3,"5","9","0.3"
"Vectorborne and Zoonotic Diseases","Anthrax","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Babesiosis","0","0","0","0","0","0","0","1",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Brucellosis","0","0","0","0","1","0","0","<1",1,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Echinococcus multilocularis infection","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Hantavirus","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Hemorrhagic fevers","0","0","0","0","0","1","0","0",1,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Lassa fever","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Lyme disease","2","0","5","6","12","33","54","74",112,"183","274","8.4"
"Vectorborne and Zoonotic Diseases","Plague","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Powassan virus","0","0","0","0","0","0","0","0",0,"0","1","<0.1"
"Vectorborne and Zoonotic Diseases","Psittacosis/Ornithosis","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Q fever","0","1","0","1","0","1","0","<1",3,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Rabies","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Tularemia","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","West Nile Virus (WNV)","0","0","0","0","0","0","2","2",2,"4","78","2.4"
"Other Diseases","Blastomycosis","1","0","1","0","0","1","1","<1",4,"10","14","0.4"
"Other Diseases","Candida auris","0","0","0","0","0","0","0","N/A",0,"0","0","0.0"
"Other Diseases","Carbapenemase-producing Enterobacteriaceae (CPE)","25","30","22","32","31","32","31","26",203,"186","306","9.4"
"Other Diseases","Creutzfeldt-Jakob disease (CJD)","1","0","0","0","1","0","0","0",2,"4","4","0.1"
