"Disease Category","Disease","January","February","March","April","May","June","July","August","September","October","November","December","December 3-year Average","2025 YTD Cases","2024 YTD Cases","2024 Total Cases","2024 Total Rate"
"Vaccine Preventable Diseases","Rubella, congenital syndrome (CRS)","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vaccine Preventable Diseases","Smallpox","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vaccine Preventable Diseases","Tetanus","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Anaplasmosis","0","0","0","0","1","2","2","2","0","0","1","1","N/A",9,"10","10","0.3"
"Vectorborne and Zoonotic Diseases","Anthrax","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Babesiosis","0","0","0","0","0","0","0","0","0","0","0","0","N/A",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Brucellosis","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"3","3","<0.1"
"Vectorborne and Zoonotic Diseases","Echinococcus multilocularis infection","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Hantavirus","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Hemorrhagic fevers","0","0","0","0","0","0","0","0","0","0","0","0","<1",0,"2","2","<0.1"
"Vectorborne and Zoonotic Diseases","Lassa fever","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Lyme disease","4","2","1","4","20","47","96","39","13","16","9","5","3",256,"229","229","7.0"
"Vectorborne and Zoonotic Diseases","Plague","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Powassan virus","0","0","0","0","0","0","0","0","0","0","0","0","N/A",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Psittacosis/Ornithosis","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Q fever","0","0","0","0","0","0","0","0","0","0","0","0","<1",0,"6","6","0.2"
"Vectorborne and Zoonotic Diseases","Rabies","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","Tularemia","0","0","0","0","0","0","0","0","0","0","0","0","0",0,"0","0","0.0"
"Vectorborne and Zoonotic Diseases","West Nile Virus (WNV)","0","0","0","0","0","1","3","50","23","0","0","0","0",77,"14","14","0.4"
"Other Diseases","Blastomycosis","0","2","3","1","2","2","0","0","0","1","2","0","<1",13,"8","8","0.2"
"Other Diseases","Candida auris","0","0","0","0","0","0","0","0","0","0","0","0","N/A",0,"N/A","N/A","N/A"
"Other Diseases","Carbapenemase-producing Enterobacteriaceae (CPE)","15","22","24","33","36","31","29","17","27","30","23","24","21",311,"325","325","9.9"
"Other Diseases","Creutzfeldt-Jakob disease (CJD)","0","0","0","1","1","1","0","0","0","0","0","0","0",3,"1","1","<0.1"
