Disease Category,Disease,January,February,March,April,May,June,July,August,September,October,November,December,Yearly Cases,Yearly Rate,Year
Vaccine Preventable Diseases,"Pneumococcal disease, invasive (IPD)",25,7,10,12,13,12,8,3,15,20,37,29,191,6.4,2022
Vaccine Preventable Diseases,"Pneumococcal disease, invasive (IPD)",22,23,20,14,23,12,19,15,16,18,29,42,253,8.5,2023
Vaccine Preventable Diseases,"Pneumococcal disease, invasive (IPD)",28,39,29,30,21,8,17,12,18,28,13,30,273,9.2,2024
Vaccine Preventable Diseases,"Pneumococcal disease, invasive (IPD)",27,37,25,22,28,20,12,6,21,21,25,43,288,8.8,2025
Vaccine Preventable Diseases,Poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Vaccine Preventable Diseases,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
Vaccine Preventable Diseases,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2022
Vaccine Preventable Diseases,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2023
Vaccine Preventable Diseases,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2024
Vaccine Preventable Diseases,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Vaccine Preventable Diseases,"Rubella, congenital syndrome (CRS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
Vaccine Preventable Diseases,"Rubella, congenital syndrome (CRS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2022
Vaccine Preventable Diseases,"Rubella, congenital syndrome (CRS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2023
Vaccine Preventable Diseases,"Rubella, congenital syndrome (CRS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2024
Vaccine Preventable Diseases,"Rubella, congenital syndrome (CRS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Vaccine Preventable Diseases,Smallpox,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Vaccine Preventable Diseases,Tetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
Vaccine Preventable Diseases,Tetanus,0,0,0,0,0,0,1,0,0,0,0,0,1,<0.1,2022
Vaccine Preventable Diseases,Tetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2023
Vaccine Preventable Diseases,Tetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2024
Vaccine Preventable Diseases,Tetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Vectorborne and Zoonotic Diseases,Anaplasmosis,,,,,,,1,1,0,0,0,0,,<0.1,2023
Vectorborne and Zoonotic Diseases,Anaplasmosis,0,0,0,0,0,2,4,1,0,1,1,0,9,0.3,2024
Vectorborne and Zoonotic Diseases,Anaplasmosis,0,0,0,0,1,2,2,2,0,0,1,1,9,0.3,2025
Vectorborne and Zoonotic Diseases,Anthrax,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Vectorborne and Zoonotic Diseases,Babesiosis,,,,,,,3,1,0,0,0,0,,0.1,2023
Vectorborne and Zoonotic Diseases,Babesiosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2024
Vectorborne and Zoonotic Diseases,Babesiosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Vectorborne and Zoonotic Diseases,Brucellosis,0,0,0,0,0,0,0,0,1,0,0,0,1,<0.1,2021
Vectorborne and Zoonotic Diseases,Brucellosis,1,0,0,0,0,0,0,0,0,0,0,0,1,<0.1,2022
Vectorborne and Zoonotic Diseases,Brucellosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2023
Vectorborne and Zoonotic Diseases,Brucellosis,0,0,0,0,0,1,1,0,0,1,0,0,3,0.1,2024
Vectorborne and Zoonotic Diseases,Brucellosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Vectorborne and Zoonotic Diseases,Echinococcus multilocularis infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
Vectorborne and Zoonotic Diseases,Echinococcus multilocularis infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2022
Vectorborne and Zoonotic Diseases,Echinococcus multilocularis infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2023
Vectorborne and Zoonotic Diseases,Echinococcus multilocularis infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2024
Vectorborne and Zoonotic Diseases,Echinococcus multilocularis infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Vectorborne and Zoonotic Diseases,Hantavirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Vectorborne and Zoonotic Diseases,Hemorrhagic fevers,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
Vectorborne and Zoonotic Diseases,Hemorrhagic fevers,0,0,0,0,0,1,0,0,0,0,0,0,1,<0.1,2022
Vectorborne and Zoonotic Diseases,Hemorrhagic fevers,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2023
Vectorborne and Zoonotic Diseases,Hemorrhagic fevers,0,0,0,0,0,0,0,1,0,0,0,1,2,<0.1,2024
Vectorborne and Zoonotic Diseases,Hemorrhagic fevers,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Vectorborne and Zoonotic Diseases,Lassa fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Vectorborne and Zoonotic Diseases,Lyme disease,0,1,2,2,6,38,40,25,14,5,3,0,136,4.6,2021
Vectorborne and Zoonotic Diseases,Lyme disease,1,0,2,5,6,22,29,28,15,6,10,1,125,4.2,2022
Vectorborne and Zoonotic Diseases,Lyme disease,4,4,2,2,3,25,73,26,16,4,2,2,163,5.5,2023
Vectorborne and Zoonotic Diseases,Lyme disease,0,4,0,1,15,37,41,49,35,30,7,2,221,7.5,2024
Vectorborne and Zoonotic Diseases,Lyme disease,4,2,1,4,20,47,96,39,13,16,9,5,274,8.4,2025
Vectorborne and Zoonotic Diseases,Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Vectorborne and Zoonotic Diseases,Powassan virus,,,,,,,0,0,0,0,0,0,,0.0,2023
Vectorborne and Zoonotic Diseases,Powassan virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2024
Vectorborne and Zoonotic Diseases,Powassan virus,0,0,0,0,0,0,0,0,0,0,0,0,1,<0.1,2025
Vectorborne and Zoonotic Diseases,Psittacosis/Ornithosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Vectorborne and Zoonotic Diseases,Q fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
Vectorborne and Zoonotic Diseases,Q fever,0,0,0,0,0,0,0,0,0,1,0,0,1,<0.1,2022
Vectorborne and Zoonotic Diseases,Q fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2023
Vectorborne and Zoonotic Diseases,Q fever,0,0,0,0,1,0,2,1,0,0,0,1,5,0.2,2024
Vectorborne and Zoonotic Diseases,Q fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Vectorborne and Zoonotic Diseases,Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
Vectorborne and Zoonotic Diseases,Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2022
Vectorborne and Zoonotic Diseases,Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2023
Vectorborne and Zoonotic Diseases,Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2024
Vectorborne and Zoonotic Diseases,Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Vectorborne and Zoonotic Diseases,Tularemia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2021
Vectorborne and Zoonotic Diseases,Tularemia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2022
Vectorborne and Zoonotic Diseases,Tularemia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2023
Vectorborne and Zoonotic Diseases,Tularemia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2024
Vectorborne and Zoonotic Diseases,Tularemia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Vectorborne and Zoonotic Diseases,West Nile Virus (WNV),0,0,0,0,0,0,0,2,5,1,0,0,8,0.3,2021
Vectorborne and Zoonotic Diseases,West Nile Virus (WNV),0,0,0,0,0,0,0,5,7,0,2,0,14,0.5,2022
Vectorborne and Zoonotic Diseases,West Nile Virus (WNV),0,0,0,0,0,0,2,6,14,1,0,0,23,0.8,2023
Vectorborne and Zoonotic Diseases,West Nile Virus (WNV),0,1,0,0,1,0,1,6,4,1,0,0,14,0.5,2024
Vectorborne and Zoonotic Diseases,West Nile Virus (WNV),0,0,0,0,0,1,3,50,23,0,0,0,78,2.4,2025
Other Diseases,Blastomycosis,0,0,1,0,0,3,1,0,0,1,0,1,7,0.2,2021
Other Diseases,Blastomycosis,0,0,0,0,1,0,0,0,0,0,0,0,1,<0.1,2022
Other Diseases,Blastomycosis,0,0,0,0,1,0,0,0,1,2,1,0,5,0.2,2023
Other Diseases,Blastomycosis,0,0,0,1,1,0,0,0,2,0,0,0,4,0.1,2024
Other Diseases,Blastomycosis,0,2,3,1,2,2,0,0,0,1,2,0,14,0.4,2025
Other Diseases,Candida auris,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2025
Other Diseases,Carbapenemase-producing Enterobacteriaceae (CPE),2,2,3,6,2,4,4,5,11,12,12,6,69,2.3,2021
Other Diseases,Carbapenemase-producing Enterobacteriaceae (CPE),6,6,5,9,14,18,22,16,19,22,20,19,176,5.9,2022
Other Diseases,Carbapenemase-producing Enterobacteriaceae (CPE),15,11,26,27,17,22,13,26,9,2,0,0,168,5.7,2023
Other Diseases,Carbapenemase-producing Enterobacteriaceae (CPE),21,29,18,34,23,30,40,28,21,29,35,17,325,11.0,2024
Other Diseases,Carbapenemase-producing Enterobacteriaceae (CPE),15,22,24,33,36,31,29,17,27,30,23,24,306,9.4,2025
Other Diseases,Creutzfeldt-Jakob disease (CJD),0,1,0,0,0,0,0,0,1,0,0,1,3,0.1,2021
Other Diseases,Creutzfeldt-Jakob disease (CJD),0,1,0,0,2,0,0,0,0,1,2,0,6,0.2,2022
Other Diseases,Creutzfeldt-Jakob disease (CJD),1,0,1,0,1,0,0,0,0,0,0,0,3,0.1,2023
Other Diseases,Creutzfeldt-Jakob disease (CJD),0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2024
Other Diseases,Creutzfeldt-Jakob disease (CJD),0,0,0,1,1,1,0,0,0,0,0,0,4,0.1,2025
